Табельный номер,Фамилия,Пол,Год рождения,Год начала работы в компании,Подразделение,Должность,Оклад,Кол-во выполненных проектов
64,Терентьева,Женский,1976,2005,4,Сотрудник техподдержки,35800,38
65,Боброва,Женский,1977,2019,1,Технический специалист,22400,14
66,Древесюк,Мужской,1971,2009,1,Технический специалист,38000,40
67,Иванова,Женский,1988,2014,2,Технический специалист,36900,59
68,Хорькова,Женский,1989,2021,3,Технический специалист,23900,19
69,Беброва,Женский,1987,2013,2,Программист,37100,31
70,Капибарова,Женский,1985,2018,5,Начальник отдела,26400,24
71,Евсеев,Мужской,1974,2019,3,Программист,24700,17
72,Беброва,Женский,1983,2011,2,Программист,41700,77
73,Беброва,Женский,1980,2005,1,Программист,39400,94
74,Терентьев,Мужской,1980,2010,3,Технический специалист,40100,81
75,Амогусов,Мужской,1980,2016,5,Программист,32400,34
76,Миридонова,Женский,1987,2019,4,Администратор,20300,3
77,Дементьев,Мужской,1977,2001,4,Начальник отдела,39800,78
78,Древесюк,Мужской,1973,2016,3,Администратор,34300,93
79,Андреева,Женский,1973,2000,2,Программист,40100,61
80,Дементьев,Мужской,1971,2015,5,Технический специалист,40100,89
81,Древесюк,Мужской,1981,2016,5,Сотрудник техподдержки,30700,47
82,Беброва,Женский,1973,1997,4,Технический специалист,37100,51
83,Андреева,Женский,1970,2021,1,Программист,21800,18
84,Миридонова,Женский,1983,2015,3,Технический специалист,21800,44
85,Миридонова,Женский,1970,2019,4,Программист,23100,21
86,Терентьев,Мужской,1970,2021,3,Начальник отдела,21200,12
87,Евсеев,Мужской,1976,2003,2,Сотрудник техподдержки,37600,56
88,Капибарова,Женский,1989,2013,2,Сотрудник техподдержки,40800,98
89,Доронькин,Мужской,1975,2010,3,Администратор,43100,91
90,Беброва,Женский,1983,2008,5,Начальник отдела,37400,54
91,Миридонов,Мужской,1975,2021,3,Начальник отдела,21500,15
92,Иванова,Женский,1979,2009,3,Программист,36800,48
93,Терентьев,Мужской,1971,2011,1,Администратор,37100,61
94,Евсеев,Мужской,1972,1996,3,Технический специалист,35700,57
95,Боброва,Женский,1989,2021,5,Сотрудник техподдержки,22900,29
96,Хорькова,Женский,1970,1995,3,Сотрудник техподдержки,35500,35
97,Беброва,Женский,1978,2018,4,Администратор,22300,3
98,Альбертов,Мужской,1990,2019,3,Администратор,25700,17
99,Терентьев,Мужской,1978,2015,1,Программист,25700,59
100,Доронькин,Мужской,1986,2021,2,Сотрудник техподдержки,26500,25
101,Альбертов,Мужской,1984,2022,1,Начальник отдела,22600,26
102,Беброва,Женский,1978,2010,3,Программист,34800,38
103,Хорькова,Женский,1971,1990,1,Технический специалист,35100,41
104,Андреева,Женский,1983,2019,3,Технический специалист,22600,16
105,Боброва,Женский,1989,2020,5,Сотрудник техподдержки,23600,6
106,Иванова,Женский,1985,2022,1,Сотрудник техподдержки,23000,30
107,Андреева,Женский,1981,2016,3,Технический специалист,33800,88
108,Иванова,Женский,1975,2014,3,Технический специалист,37100,71
109,Дементьев,Мужской,1976,2002,3,Программист,34500,45
110,Дементьев,Мужской,1984,2020,1,Программист,23700,27
111,Иванова,Женский,1973,2016,4,Сотрудник техподдержки,33700,57
112,Альбертов,Мужской,1975,2014,2,Начальник отдела,39200,62
113,Древесюк,Мужской,1974,2010,1,Сотрудник техподдержки,43100,91
114,Миридонова,Женский,1974,2008,3,Технический специалист,41200,82
115,Капибарова,Женский,1988,2016,5,Сотрудник техподдержки,36000,70
116,Андреева,Женский,1974,2006,1,Администратор,35400,54
117,Доронькин,Мужской,1980,2021,5,Сотрудник техподдержки,24500,15
118,Доронькин,Мужской,1982,2015,1,Программист,24500,76
119,Терентьева,Женский,1983,2016,5,Технический специалист,34000,50
120,Доронькин,Мужской,1976,2009,4,Администратор,37300,33
121,Беброва,Женский,1971,2017,2,Начальник отдела,32300,33
122,Боброва,Женский,1988,2012,3,Технический специалист,38200,72
123,Терентьева,Женский,1971,2003,4,Программист,36200,32
124,Миридонова,Женский,1983,2017,2,Начальник отдела,29200,32
125,Доронькин,Мужской,1982,2011,2,Программист,43700,97
126,Терентьев,Мужской,1973,2014,3,Программист,36800,58
127,Хорькова,Женский,1970,2022,2,Технический специалист,21900,19
128,Доронькин,Мужской,1970,1998,2,Технический специалист,39400,94
129,Терентьева,Женский,1971,2008,1,Начальник отдела,43800,98
130,Боброва,Женский,1985,2014,1,Администратор,36700,57
131,Евсеев,Мужской,1985,2009,4,Администратор,37300,63
132,Амогусов,Мужской,1988,2017,3,Начальник отдела,34300,63
133,Евсеев,Мужской,1982,2008,1,Технический специалист,39900,79
134,Миридонов,Мужской,1988,2017,5,Технический специалист,34900,79
135,Евсеев,Мужской,1981,2021,2,Технический специалист,22500,25
136,Беброва,Женский,1975,2018,2,Программист,20300,3
137,Иванова,Женский,1978,1999,4,Начальник отдела,38600,56
138,Альбертов,Мужской,1978,2011,2,Администратор,36900,49
139,Евсеев,Мужской,1988,2022,3,Технический специалист,26100,21
140,Древесюк,Мужской,1988,2017,3,Администратор,30100,21
141,Беброва,Женский,1980,2004,4,Программист,41800,78
142,Древесюк,Мужской,1987,2014,5,Технический специалист,37500,65
143,Древесюк,Мужской,1982,2014,4,Технический специалист,38000,50
144,Андреева,Женский,1985,2019,3,Администратор,24700,7
145,Андреева,Женский,1988,2016,5,Администратор,32300,33
146,Беброва,Женский,1981,2013,2,Программист,40900,69
147,Боброва,Женский,1978,1999,5,Начальник отдела,42600,96
148,Миридонова,Женский,1987,2021,3,Программист,22100,1
149,Альбертов,Мужской,1972,2022,1,Администратор,23100,21
150,Древесюк,Мужской,1972,2000,5,Программист,39700,97
151,Боброва,Женский,1971,2000,1,Технический специалист,43500,95
152,Андреева,Женский,1971,2008,2,Начальник отдела,38600,66
153,Миридонов,Мужской,1981,2020,5,Администратор,25700,27
154,Древесюк,Мужской,1989,2008,2,Технический специалист,40600,96
155,Иванова,Женский,1974,1998,5,Сотрудник техподдержки,38300,83
156,Боброва,Женский,1986,2018,3,Администратор,25700,27
157,Терентьев,Мужской,1979,2017,3,Сотрудник техподдержки,30700,27
158,Терентьева,Женский,1974,2017,4,Технический специалист,27700,27
159,Хорькова,Женский,1985,2014,5,Технический специалист,37800,78
160,Миридонов,Мужской,1973,2009,4,Администратор,37600,66
161,Андреева,Женский,1984,2016,1,Начальник отдела,34500,75
162,Терентьев,Мужской,1977,2010,4,Начальник отдела,39200,92
163,Евсеев,Мужской,1986,2021,1,Технический специалист,21400,4
164,Беброва,Женский,1978,2009,5,Технический специалист,39000,50
165,Миридонов,Мужской,1977,2019,5,Начальник отдела,22500,25
166,Дементьев,Мужской,1985,2022,5,Начальник отдела,22400,24
167,Евсеев,Мужской,1990,2009,4,Технический специалист,37600,46
168,Древесюк,Мужской,1980,2011,3,Администратор,38700,87
169,Дементьев,Мужской,1985,2016,2,Администратор,34800,98
170,Терентьев,Мужской,1984,2017,3,Программист,34800,98
171,Амогусов,Мужской,1973,1998,4,Сотрудник техподдержки,35300,33
172,Миридонов,Мужской,1983,2013,5,Администратор,42200,92
173,Терентьев,Мужской,1972,2010,1,Программист,39900,59
174,Хорькова,Женский,1976,2010,5,Программист,39600,66
175,Боброва,Женский,1973,2017,5,Администратор,33600,66
176,Доронькин,Мужской,1989,2015,2,Программист,33600,71
177,Беброва,Женский,1978,2004,5,Технический специалист,42000,100
178,Боброва,Женский,1978,2006,2,Сотрудник техподдержки,39400,94
179,Миридонова,Женский,1977,2017,5,Администратор,38400,94
180,Миридонов,Мужской,1971,2018,2,Технический специалист,21300,3
181,Евсеев,Мужской,1979,2016,3,Начальник отдела,29300,43
182,Альбертов,Мужской,1981,2022,3,Технический специалист,23400,24
183,Древесюк,Мужской,1990,2014,3,Администратор,39400,84
184,Доронькин,Мужской,1977,2010,4,Сотрудник техподдержки,35500,35
185,Альбертов,Мужской,1979,2004,4,Технический специалист,41600,96
186,Альбертов,Мужской,1970,2001,3,Начальник отдела,38700,67
187,Миридонова,Женский,1986,2018,4,Технический специалист,22200,2
188,Миридонова,Женский,1978,2008,2,Сотрудник техподдержки,36400,64
189,Миридонова,Женский,1986,2016,2,Программист,33100,41
190,Боброва,Женский,1974,2006,3,Программист,37800,58
191,Терентьева,Женский,1970,2022,5,Администратор,25700,17
192,Доронькин,Мужской,1973,2013,5,Сотрудник техподдержки,38200,72
193,Амогусов,Мужской,1974,2010,5,Технический специалист,34500,35
194,Доронькин,Мужской,1977,2007,2,Программист,36000,40
195,Амогусов,Мужской,1979,2022,3,Технический специалист,26700,27
196,Дементьев,Мужской,1988,2022,1,Администратор,22000,20
197,Капибарова,Женский,1981,2014,4,Технический специалист,35500,55
198,Доронькин,Мужской,1978,2010,2,Администратор,40400,74
199,Терентьев,Мужской,1990,2019,1,Сотрудник техподдержки,22400,4
200,Древесюк,Мужской,1980,2002,5,Начальник отдела,39200,92
201,Миридонов,Мужской,1980,2022,2,Сотрудник техподдержки,24800,8
202,Миридонов,Мужской,1983,2015,3,Технический специалист,24800,57
203,Андреева,Женский,1983,2013,4,Начальник отдела,38200,82
204,Амогусов,Мужской,1988,2012,4,Программист,35200,42
205,Доронькин,Мужской,1990,2013,5,Начальник отдела,39100,51
206,Древесюк,Мужской,1976,2019,1,Начальник отдела,22300,13
207,Миридонов,Мужской,1975,1995,2,Программист,39200,62
208,Миридонов,Мужской,1979,2016,1,Администратор,31300,33
209,Миридонов,Мужской,1983,2017,1,Администратор,31300,33
210,Терентьева,Женский,1979,2019,2,Технический специалист,20300,3
211,Евсеев,Мужской,1974,2011,2,Программист,37600,66
212,Беброва,Женский,1979,2006,2,Программист,36900,69
213,Дементьев,Мужской,1986,2021,2,Администратор,24500,5
214,Дементьев,Мужской,1979,2011,4,Технический специалист,33500,35
215,Андреева,Женский,1978,2007,2,Технический специалист,42500,85
216,Хорькова,Женский,1978,2006,4,Программист,39100,81
217,Терентьев,Мужской,1987,2015,2,Начальник отдела,39100,82
218,Капибарова,Женский,1978,2018,3,Администратор,20300,3
219,Альбертов,Мужской,1984,2021,3,Начальник отдела,23200,22
220,Иванова,Женский,1976,2019,4,Технический специалист,24400,24
221,Древесюк,Мужской,1978,2007,2,Начальник отдела,39000,70
222,Капибарова,Женский,1987,2016,1,Программист,35700,87
223,Андреева,Женский,1977,2010,3,Начальник отдела,42100,91
224,Иванова,Женский,1976,2014,4,Программист,41900,89
225,Дементьев,Мужской,1980,2020,4,Начальник отдела,26600,26
226,Амогусов,Мужской,1972,2020,5,Администратор,21300,3
227,Иванова,Женский,1989,2021,3,Начальник отдела,25300,23
228,Иванова,Женский,1980,2018,5,Технический специалист,21600,6
229,Дементьев,Мужской,1971,2001,3,Сотрудник техподдержки,41700,97
230,Терентьева,Женский,1989,2022,5,Технический специалист,20800,8
231,Беброва,Женский,1989,2013,1,Администратор,38200,52
232,Древесюк,Мужской,1973,2020,4,Начальник отдела,21400,14
233,Капибарова,Женский,1990,2021,1,Программист,23300,3
234,Терентьев,Мужской,1974,2011,2,Администратор,37900,39
235,Беброва,Женский,1989,2018,4,Начальник отдела,26400,24
236,Терентьева,Женский,1989,2013,1,Сотрудник техподдержки,40500,95
237,Андреева,Женский,1981,2008,5,Сотрудник техподдержки,37800,38
238,Капибарова,Женский,1989,2010,2,Технический специалист,40700,77
239,Доронькин,Мужской,1970,2020,5,Программист,23500,25
240,Капибарова,Женский,1987,2020,2,Начальник отдела,24700,27
241,Амогусов,Мужской,1974,2018,2,Начальник отдела,22100,1
242,Альбертов,Мужской,1985,2022,3,Технический специалист,23200,22
243,Альбертов,Мужской,1984,2012,3,Начальник отдела,35500,55
244,Андреева,Женский,1974,2011,4,Сотрудник техподдержки,40300,83
245,Дементьев,Мужской,1989,2018,3,Начальник отдела,24100,1
246,Евсеев,Мужской,1984,2012,1,Программист,39700,77
247,Боброва,Женский,1990,2018,3,Начальник отдела,22700,27
248,Миридонова,Женский,1973,2009,4,Программист,37200,42
249,Доронькин,Мужской,1977,2015,4,Программист,37200,65
250,Дементьев,Мужской,1975,2006,5,Администратор,40800,88
251,Дементьев,Мужской,1980,2014,3,Администратор,40400,74
252,Хорькова,Женский,1985,2016,4,Сотрудник техподдержки,31700,57
253,Миридонова,Женский,1975,2015,4,Администратор,31700,71
254,Амогусов,Мужской,1985,2020,3,Технический специалист,21500,5
255,Иванова,Женский,1981,2008,2,Сотрудник техподдержки,34200,32
256,Миридонов,Мужской,1975,2014,5,Администратор,36800,68
257,Терентьева,Женский,1987,2022,3,Технический специалист,24100,21
258,Альбертов,Мужской,1990,2017,3,Начальник отдела,31100,21
259,Хорькова,Женский,1979,2022,1,Начальник отдела,20400,4
260,Амогусов,Мужской,1983,2013,2,Программист,37000,30
261,Миридонов,Мужской,1981,2011,3,Начальник отдела,38100,41
262,Хорькова,Женский,1990,2010,2,Программист,39400,54
263,Миридонов,Мужской,1974,2014,1,Начальник отдела,36600,36
264,Евсеев,Мужской,1973,2011,4,Администратор,36800,68
265,Хорькова,Женский,1975,2009,4,Технический специалист,39100,51
266,Боброва,Женский,1979,2021,4,Программист,22600,26
267,Миридонова,Женский,1987,2011,2,Начальник отдела,41900,79
268,Боброва,Женский,1989,2015,4,Начальник отдела,41900,33
269,Евсеев,Мужской,1971,2002,3,Программист,40500,65
270,Иванова,Женский,1980,2017,2,Программист,33500,65
271,Иванова,Женский,1990,2021,1,Сотрудник техподдержки,23200,22
272,Евсеев,Мужской,1970,2020,2,Начальник отдела,24800,18
273,Миридонов,Мужской,1989,2017,5,Начальник отдела,26800,18
274,Беброва,Женский,1990,2012,1,Технический специалист,39900,59
275,Дементьев,Мужской,1974,2000,5,Начальник отдела,41600,96
276,Древесюк,Мужской,1983,2019,2,Сотрудник техподдержки,23900,9
277,Доронькин,Мужской,1986,2016,5,Сотрудник техподдержки,36600,96
278,Андреева,Женский,1975,2015,1,Начальник отдела,36600,53
279,Древесюк,Мужской,1979,2018,5,Начальник отдела,22900,9
280,Капибарова,Женский,1990,2008,5,Начальник отдела,38900,89
281,Древесюк,Мужской,1982,2014,1,Администратор,34000,40
282,Андреева,Женский,1975,2019,3,Технический специалист,23400,4
283,Миридонов,Мужской,1988,2022,3,Технический специалист,23800,8
284,Терентьева,Женский,1985,2021,1,Программист,22100,11
285,Альбертов,Мужской,1984,2015,1,Технический специалист,22100,63
286,Доронькин,Мужской,1976,2006,3,Администратор,36000,40
287,Амогусов,Мужской,1981,2009,5,Сотрудник техподдержки,36600,46
288,Доронькин,Мужской,1978,2017,4,Администратор,33600,46
289,Андреева,Женский,1981,2020,5,Администратор,23600,16
290,Евсеев,Мужской,1980,2020,4,Администратор,24400,4
291,Альбертов,Мужской,1979,2013,4,Программист,37300,33
292,Иванова,Женский,1988,2018,3,Начальник отдела,26200,22
293,Хорькова,Женский,1984,2013,1,Начальник отдела,38000,40
294,Доронькин,Мужской,1973,2009,5,Программист,40500,85
295,Иванова,Женский,1977,2008,2,Сотрудник техподдержки,38200,52
296,Древесюк,Мужской,1983,2016,4,Технический специалист,38900,99
297,Капибарова,Женский,1975,2002,3,Администратор,41800,88
298,Миридонова,Женский,1981,2017,3,Начальник отдела,33800,88
299,Дементьев,Мужской,1975,2001,3,Администратор,39600,56
300,Альбертов,Мужской,1973,2011,2,Программист,41600,86
301,Боброва,Женский,1988,2016,2,Технический специалист,32100,61
302,Беброва,Женский,1978,2015,2,Сотрудник техподдержки,32100,61
303,Амогусов,Мужской,1978,2012,3,Администратор,40800,98
304,Иванова,Женский,1988,2020,5,Начальник отдела,24300,23
305,Миридонов,Мужской,1971,2014,5,Администратор,34000,30
306,Хорькова,Женский,1971,1994,3,Технический специалист,39100,81
307,Древесюк,Мужской,1978,2017,2,Администратор,33100,81
308,Миридонова,Женский,1975,2008,2,Администратор,41700,97
309,Древесюк,Мужской,1986,2013,5,Программист,42900,89
310,Беброва,Женский,1977,2015,3,Технический специалист,42900,80
311,Миридонова,Женский,1972,2017,1,Технический специалист,35000,80
312,Амогусов,Мужской,1987,2019,5,Технический специалист,24000,20
313,Терентьев,Мужской,1978,2013,2,Программист,35300,53
314,Терентьев,Мужской,1973,2020,4,Администратор,25600,16
315,Капибарова,Женский,1973,2016,3,Технический специалист,31700,37
316,Миридонова,Женский,1985,2020,3,Сотрудник техподдержки,21100,11
317,Боброва,Женский,1978,2016,5,Сотрудник техподдержки,32900,59
318,Хорькова,Женский,1984,2013,1,Сотрудник техподдержки,35300,43
319,Амогусов,Мужской,1989,2019,2,Технический специалист,23100,11
320,Дементьев,Мужской,1985,2022,2,Технический специалист,23200,22
321,Терентьев,Мужской,1988,2019,2,Программист,21200,2
322,Евсеев,Мужской,1990,2020,1,Администратор,21600,16
323,Дементьев,Мужской,1980,2007,4,Начальник отдела,38000,80
324,Боброва,Женский,1982,2005,2,Технический специалист,35100,31
325,Беброва,Женский,1975,2006,5,Технический специалист,35700,47
326,Терентьев,Мужской,1985,2021,2,Сотрудник техподдержки,21300,3
327,Хорькова,Женский,1977,2019,5,Сотрудник техподдержки,22900,29
328,Андреева,Женский,1982,2022,4,Программист,23100,21
329,Иванова,Женский,1981,2015,4,Технический специалист,23100,41
330,Боброва,Женский,1987,2018,1,Сотрудник техподдержки,26000,30
331,Миридонова,Женский,1982,2011,1,Технический специалист,40100,61
332,Альбертов,Мужской,1985,2016,4,Программист,34700,87
333,Капибарова,Женский,1986,2010,1,Технический специалист,37800,78
334,Боброва,Женский,1975,2001,4,Сотрудник техподдержки,42700,87
335,Боброва,Женский,1972,2010,5,Технический специалист,38100,41
336,Иванова,Женский,1983,2022,5,Начальник отдела,21100,1
337,Терентьева,Женский,1983,2012,4,Технический специалист,33000,30
338,Хорькова,Женский,1988,2010,3,Программист,41600,96
339,Боброва,Женский,1987,2009,5,Администратор,37300,43
340,Миридонов,Мужской,1974,2020,3,Программист,24400,14
341,Миридонова,Женский,1972,1998,5,Сотрудник техподдержки,37200,52
342,Боброва,Женский,1983,2019,5,Программист,22000,10
343,Евсеев,Мужской,1979,2017,4,Администратор,30000,10
344,Дементьев,Мужской,1975,2021,2,Технический специалист,25300,23
345,Капибарова,Женский,1978,2017,4,Начальник отдела,27300,23
346,Терентьев,Мужской,1971,2008,3,Программист,39400,54
347,Боброва,Женский,1989,2018,3,Администратор,23900,29
348,Боброва,Женский,1987,2017,2,Администратор,30900,29
349,Беброва,Женский,1984,2010,3,Начальник отдела,41500,85
350,Иванова,Женский,1989,2016,5,Технический специалист,34500,75
351,Хорькова,Женский,1973,2003,2,Начальник отдела,42200,92
352,Дементьев,Мужской,1986,2018,5,Начальник отдела,24800,28
353,Альбертов,Мужской,1982,2015,2,Администратор,24800,47
354,Миридонова,Женский,1975,2003,1,Технический специалист,36800,68
355,Капибарова,Женский,1987,2020,2,Технический специалист,25300,13
356,Капибарова,Женский,1979,2020,4,Технический специалист,24600,6
357,Боброва,Женский,1989,2021,3,Администратор,24300,13
358,Хорькова,Женский,1986,2014,4,Сотрудник техподдержки,40500,75
359,Евсеев,Мужской,1974,2014,5,Технический специалист,39000,70
360,Древесюк,Мужской,1981,2008,2,Сотрудник техподдержки,41700,77
361,Миридонов,Мужской,1971,2014,2,Технический специалист,37100,61
362,Доронькин,Мужской,1983,2014,1,Начальник отдела,41500,85
363,Древесюк,Мужской,1988,2014,3,Программист,40000,100
364,Терентьева,Женский,1981,2001,3,Технический специалист,39400,74
365,Доронькин,Мужской,1975,2008,4,Сотрудник техподдержки,39100,61
366,Амогусов,Мужской,1987,2020,5,Программист,25000,20
367,Хорькова,Женский,1982,2022,2,Администратор,22500,15
368,Капибарова,Женский,1979,2004,1,Администратор,42300,83
369,Дементьев,Мужской,1982,2017,2,Технический специалист,37300,83
370,Андреева,Женский,1978,2013,4,Технический специалист,37400,34
371,Терентьева,Женский,1977,2021,2,Программист,22800,18
372,Амогусов,Мужской,1983,2013,5,Сотрудник техподдержки,40900,89
373,Терентьев,Мужской,1981,2022,5,Технический специалист,20300,3
374,Иванова,Женский,1990,2012,4,Администратор,36200,62
375,Терентьев,Мужской,1978,2005,2,Администратор,37800,68
376,Капибарова,Женский,1973,2005,5,Администратор,43500,95
377,Терентьев,Мужской,1975,2003,1,Администратор,38700,87
378,Терентьева,Женский,1971,2014,4,Администратор,39300,93
379,Беброва,Женский,1989,2015,2,Сотрудник техподдержки,39300,66
380,Древесюк,Мужской,1973,1998,3,Сотрудник техподдержки,39000,90
381,Амогусов,Мужской,1974,2013,2,Технический специалист,41200,82
382,Капибарова,Женский,1977,2012,1,Администратор,42300,83
383,Альбертов,Мужской,1990,2012,3,Сотрудник техподдержки,37600,46
384,Андреева,Женский,1988,2018,3,Технический специалист,22200,12
385,Дементьев,Мужской,1987,2018,2,Администратор,21300,13
386,Боброва,Женский,1971,2009,5,Технический специалист,38500,75
387,Терентьева,Женский,1980,2011,2,Программист,42200,92
388,Древесюк,Мужской,1979,2013,3,Программист,40300,83
389,Терентьев,Мужской,1988,2019,5,Технический специалист,22200,12
390,Амогусов,Мужской,1988,2011,2,Сотрудник техподдержки,38100,61
391,Дементьев,Мужской,1982,2019,3,Администратор,23800,28
392,Доронькин,Мужской,1990,2013,4,Сотрудник техподдержки,34000,30
393,Альбертов,Мужской,1989,2011,4,Технический специалист,36600,46
394,Доронькин,Мужской,1977,2001,5,Начальник отдела,40200,82
395,Евсеев,Мужской,1980,2013,5,Администратор,41700,77
396,Дементьев,Мужской,1971,2007,4,Администратор,35800,38
397,Беброва,Женский,1971,2013,5,Администратор,36200,32
398,Терентьев,Мужской,1977,2009,4,Администратор,36400,44
399,Миридонова,Женский,1972,2007,2,Программист,39500,55
400,Альбертов,Мужской,1988,2021,5,Технический специалист,24900,19
401,Андреева,Женский,1986,2015,5,Начальник отдела,24900,87
402,Иванова,Женский,1983,2008,1,Программист,39800,78
403,Терентьев,Мужской,1987,2013,2,Администратор,41200,82
404,Иванова,Женский,1973,2004,3,Технический специалист,35800,58
405,Доронькин,Мужской,1986,2022,4,Сотрудник техподдержки,25200,12
406,Терентьева,Женский,1986,2013,1,Технический специалист,40800,78
407,Боброва,Женский,1974,1998,1,Программист,37300,53
408,Капибарова,Женский,1978,2022,2,Технический специалист,22200,22
409,Боброва,Женский,1977,2008,2,Начальник отдела,39600,86
410,Дементьев,Мужской,1977,2008,3,Администратор,39700,57
411,Терентьев,Мужской,1990,2022,2,Технический специалист,20600,6
412,Иванова,Женский,1979,2018,3,Администратор,22200,12
413,Капибарова,Женский,1979,2014,4,Администратор,41000,70
414,Амогусов,Мужской,1980,2015,2,Начальник отдела,41000,76
415,Боброва,Женский,1972,1992,4,Программист,38500,65
416,Терентьев,Мужской,1979,2022,4,Начальник отдела,22600,6
417,Дементьев,Мужской,1983,2013,5,Начальник отдела,39100,71
418,Андреева,Женский,1982,2017,3,Технический специалист,33100,71
419,Дементьев,Мужской,1976,2011,1,Программист,41200,72
420,Миридонова,Женский,1987,2022,5,Технический специалист,25400,14
421,Беброва,Женский,1972,2021,2,Сотрудник техподдержки,24400,4
422,Иванова,Женский,1989,2020,4,Технический специалист,23500,15
423,Терентьев,Мужской,1985,2019,4,Администратор,24800,28
424,Альбертов,Мужской,1981,2021,3,Администратор,23800,8
425,Миридонова,Женский,1979,2019,5,Начальник отдела,26600,26
426,Терентьева,Женский,1981,2021,5,Сотрудник техподдержки,20500,5
427,Андреева,Женский,1982,2019,1,Администратор,21800,18
428,Амогусов,Мужской,1975,2015,5,Администратор,21800,41
429,Беброва,Женский,1987,2020,4,Сотрудник техподдержки,23000,10
430,Терентьев,Мужской,1980,2006,4,Начальник отдела,40600,86
431,Иванова,Женский,1974,2008,3,Сотрудник техподдержки,35700,57
